Time Step,Ratio
10.88,0.561277469
10.89,0.561181461
10.9,0.561085695
10.91,0.560990171
10.92,0.560894887
10.93,0.560799843
10.94,0.560705038
10.95,0.560610471
10.96,0.560516143
10.97,0.560422052
10.98,0.560328197
10.99,0.560234578
11,0.560141194
11.01,0.560048045
11.02,0.559955129
11.03,0.559862446
11.04,0.559769996
11.05,0.559677778
11.06,0.559585791
11.07,0.559494035
11.08,0.559402508
11.09,0.55931121
11.1,0.559220141
11.11,0.5591293
11.12,0.559038686
11.13,0.558948299
11.14,0.558858137
11.15,0.558768201
11.16,0.55867849
11.17,0.558589002
11.18,0.558499738
11.19,0.558410697
11.2,0.558321878
11.21,0.55823328
11.22,0.558144904
11.23,0.558056747
11.24,0.55796881
11.25,0.557881093
11.26,0.557793593
11.27,0.557706312
11.28,0.557619247
11.29,0.5575324
11.3,0.557445768
11.31,0.557359351
11.32,0.55727315
11.33,0.557187162
11.34,0.557101388
11.35,0.557015827
11.36,0.556930478
11.37,0.556845341
11.38,0.556760415
11.39,0.5566757
11.4,0.556591195
11.41,0.556506899
11.42,0.556422812
11.43,0.556338934
11.44,0.556255263
11.45,0.556171799
11.46,0.556088541
11.47,0.55600549
11.48,0.555922643
11.49,0.555840002
11.5,0.555757565
11.51,0.555675331
11.52,0.555593301
11.53,0.555511473
11.54,0.555429847
11.55,0.555348423
11.56,0.555267199
11.57,0.555186175
11.58,0.555105352
11.59,0.555024727
11.6,0.554944301
11.61,0.554864074
11.62,0.554784044
11.63,0.55470421
11.64,0.554624574
11.65,0.554545133
11.66,0.554465887
11.67,0.554386836
11.68,0.55430798
11.69,0.554229318
11.7,0.554150848
11.71,0.554072571
11.72,0.553994487
11.73,0.553916594
11.74,0.553838892
11.75,0.553761381
11.76,0.55368406
11.77,0.553606928
11.78,0.553529986
11.79,0.553453232
11.8,0.553376666
11.81,0.553300287
11.82,0.553224096
11.83,0.553148091
11.84,0.553072271
11.85,0.552996638
11.86,0.552921189
11.87,0.552845925
11.88,0.552770844
11.89,0.552695947
11.9,0.552621233
11.91,0.552546702
11.92,0.552472352
11.93,0.552398184
11.94,0.552324196
11.95,0.552250389
11.96,0.552176763
11.97,0.552103315
11.98,0.552030047
11.99,0.551956957
12,0.551884045
12.01,0.551811311
12.02,0.551738753
12.03,0.551666373
12.04,0.551594168
